timestamp,source,command,duration_ms,success,internal_latency_us
2025-12-24T09:05:49.951Z,WebApp,reset,1010.26,False
2025-12-24T09:05:52.765Z,WebApp,emergency,1008.57,False
2025-12-24T09:05:53.421Z,WebApp,reset,1004.88,False
2025-12-24T09:05:54.398Z,WebApp,emergency,1007.02,False
2025-12-24T09:05:55.204Z,WebApp,reset,1014.09,False
2025-12-24T09:05:56.576Z,WebApp,emergency,1002.87,False
2025-12-24T09:05:58.046Z,WebApp,reset,1014.95,False
2025-12-24T09:05:59.361Z,WebApp,emergency,1003.36,False
2025-12-24T09:05:59.981Z,WebApp,reset,1006.32,False
2025-12-24T09:06:01.435Z,WebApp,emergency,1005.25,False
2025-12-24T09:06:01.914Z,WebApp,reset,1016.03,False
2025-12-24T09:06:02.796Z,WebApp,emergency,1003.17,False
2025-12-24T09:06:03.620Z,WebApp,reset,1001.64,False
2025-12-24T09:06:04.760Z,WebApp,emergency,1016.97,False
2025-12-24T09:06:05.919Z,WebApp,reset,1010.08,False
2025-12-24T09:08:05.200Z,WebApp,emergency,1007.21,False
2025-12-24T09:08:05.554Z,WebApp,reset,1011.29,False
2025-12-24T09:08:06.362Z,WebApp,emergency,1011.00,False
2025-12-24T09:08:07.152Z,WebApp,reset,1016.19,False
2025-12-24T09:08:36.526Z,WebApp,emergency,1013.49,False
2025-12-24T09:08:38.170Z,WebApp,reset,1014.33,False
2025-12-24T09:08:39.821Z,WebApp,emergency,1011.63,False
2025-12-24T09:08:40.853Z,WebApp,reset,1010.23,False
2025-12-24T09:08:41.893Z,WebApp,emergency,1009.04,False
2025-12-24T09:08:42.684Z,WebApp,reset,1014.40,False
2025-12-24T09:10:20.557Z,WebApp,emergency,1006.08,False
2025-12-24T09:10:21.526Z,WebApp,reset,1011.84,False
2025-12-24T09:10:25.998Z,WebApp,emergency,1011.74,False
2025-12-24T09:10:26.757Z,WebApp,reset,1007.03,False
2025-12-24T09:10:28.281Z,WebApp,emergency,1001.78,False
2025-12-24T09:10:29.195Z,WebApp,reset,1015.48,False
2025-12-24T09:10:29.951Z,WebApp,emergency,1012.59,False
2025-12-24T09:10:30.774Z,WebApp,reset,1016.14,False
2025-12-24T09:13:17.096Z,WebApp,emergency,1011.47,False
2025-12-24T09:13:17.578Z,WebApp,reset,1007.46,False
2025-12-24T09:14:08.649Z,WebApp,emergency,1003.79,False
2025-12-24T09:14:15.089Z,WebApp,reset,1011.78,False
2025-12-24T09:14:15.913Z,WebApp,emergency,1004.41,False
2025-12-24T09:14:16.394Z,WebApp,reset,1012.40,False
2025-12-24T09:14:17.416Z,WebApp,emergency,1001.54,False
2025-12-24T09:14:22.224Z,WebApp,emergency,1007.95,False
